"ug_code","utility_code","dh_id","date_","value_",
"114601","60444437000146","2022NP000027","17/01/2022","23.407,04"
"114601","60444437000146","2022NP000028","17/01/2022","35.823,35"
"114601","60444437000146","2022NP000029","21/01/2022","44.664,05"
"114601","60444437000146","2022NP000030","21/01/2022","23.581,85"
"114601","60444437000146","2022NP000057","21/01/2022","2.860,92"
"114601","60444437000146","2022NP000082","26/01/2022","156.215,24"
"114601","60444437000146","2022NP000084","26/01/2022","11.094,32"
"114601","60444437000146","2022NP000090","26/01/2022","34.654,87"
"114602","05914650000166","2022NP000004","26/01/2022","6.002,69"
"114603","04065033000170","2022NP000003","13/01/2022","5.267,17"
"114604","02341467000120","2022NP000009","26/01/2022","17.279,98"
"114605","02341470000144","2022NP000002","21/01/2022","3.673,24"
"114606","04895728000180","2022NP000013","17/01/2022","7.969,43"
"114606","04895728000180","2022NP000013","17/01/2022","4.996,84"
"114606","04895728000180","2022NP000013","17/01/2022","1.096,97"
"114607","05965546000109","2022NP000004","14/01/2022","2.573,33"
"114607","05965546000109","2022NP000005","14/01/2022","2.483,90"
"114608","06272793000184","2022NP000007","28/01/2022","21.660,51"
"114612","08324196000181","2022NP000014","18/01/2022","6.976,59"
"114616","13255658000196","2022NP000001","21/01/2022","400,75"
"114616","13255658000196","2022NP000010","21/01/2022","469,57"
"114617","15139629000194","2022NP000053","24/01/2022","4.230,14"
"114617","15139629000194","2022NP000054","26/01/2022","21.223,33"
"114617","15139629000194","2022NP000055","26/01/2022","83,45"
"114618","19527639000158","2022NP000011","21/01/2022","1.225,65"
"114618","06981180000116","2022NP000006","18/01/2022","10.479,76"
"114619","28152650000171","2022NP000018","19/01/2022","11.189,44"
"114620","02328280000197","2022NP000006","21/01/2022","96,53"
"114622","07282377000120","2022NP000056","12/01/2022","47,26"
"114622","07282377000120","2022NP000126","27/01/2022","403,70"
"114622","07282377000120","2022NP000127","27/01/2022","606,17"
"114622","07282377000120","2022NP000128","27/01/2022","207,38"
"114622","07282377000120","2022NP000129","27/01/2022","325,98"
"114622","07282377000120","2022NP000130","27/01/2022","48,07"
"114622","07282377000120","2022NP000131","27/01/2022","49,08"
"114622","02328280000197","2022NP000118","27/01/2022","103,71"
"114622","02328280000197","2022NP000119","27/01/2022","220,59"
"114622","02328280000197","2022NP000120","27/01/2022","113,10"
"114622","02328280000197","2022NP000121","27/01/2022","55,54"
"114622","33050196000188","2022NP000103","26/01/2022","375,26"
"114622","33050196000188","2022NP000104","26/01/2022","104,47"
"114622","33050196000188","2022NP000105","26/01/2022","153,12"
"114622","33050196000188","2022NP000106","26/01/2022","78,70"
"114622","33050196000188","2022NP000107","26/01/2022","314,83"
"114622","33050196000188","2022NP000108","26/01/2022","413,49"
"114622","33050196000188","2022NP000109","26/01/2022","371,89"
"114622","33050196000188","2022NP000110","26/01/2022","180,93"
"114622","33050196000188","2022NP000111","26/01/2022","170,82"
"114622","33050196000188","2022NP000115","26/01/2022","325,21"
"114622","33050196000188","2022NP000116","26/01/2022","117,48"
"114622","33050196000188","2022NP000117","26/01/2022","345,76"
"114622","04172213000151","2022NP000112","26/01/2022","223,67"
"114622","04172213000151","2022NP000113","26/01/2022","179,62"
"114622","04172213000151","2022NP000114","26/01/2022","391,82"
"114622","61695227000193","2022NP000063","24/01/2022","58,45"
"114622","61695227000193","2022NP000064","24/01/2022","175,17"
"114622","61695227000193","2022NP000065","24/01/2022","119,13"
"114622","61695227000193","2022NP000066","24/01/2022","77,12"
"114622","61695227000193","2022NP000067","24/01/2022","85,48"
"114622","61695227000193","2022NP000068","24/01/2022","87,28"
"114622","61695227000193","2022NP000069","24/01/2022","275,09"
"114622","61695227000193","2022NP000070","24/01/2022","43,19"
"114622","61695227000193","2022NP000071","24/01/2022","116,31"
"114622","61695227000193","2022NP000072","24/01/2022","161,17"
"114622","61695227000193","2022NP000073","14/01/2022","213,32"
"114622","61695227000193","2022NP000076","24/01/2022","936,32"
"114622","61695227000193","2022NP000077","24/01/2022","248,36"
"114622","61695227000193","2022NP000078","14/01/2022","97,04"
"114622","02302100000106","2022NP000122","27/01/2022","66,83"
"114622","02302100000106","2022NP000123","27/01/2022","66,86"
"114622","02302100000106","2022NP000124","27/01/2022","49,81"
"114622","02302100000106","2022NP000125","27/01/2022","58,96"
"114622","02302100000106","2022NP000132","27/01/2022","57,17"
"114624","08336783000190","2022NP000028","25/01/2022","17.011,83"
"114625","08467115000100","2022NP000004","11/01/2022","14.672,46"
"114625","08467115000100","2022NP000009","12/01/2022","3.708,15"
"114625","02016440000162","2022NP000010","13/01/2022","28,27"
"114625","02016440000162","2022NP000010","18/01/2022","7.376,11"
"114627","01543032000104","2022NP000016","28/01/2022","19.796,75"
"114628","07522669000192","2022NP000008","24/01/2022","72.334,96"
"114639","25086034000171","2022NP000010","12/01/2022","9.520,15"
